"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","09/01/2025","0.1200","No","CCF"
"9100 192 6198 1","1707110","09/02/2025","0.0000","No","CCF"
"9100 192 6198 1","1707110","09/03/2025","0.2600","No","CCF"
"9100 192 6198 1","1707110","09/04/2025","0.1200","No","CCF"
"9100 192 6198 1","1707110","09/05/2025","0.1200","No","CCF"
"9100 192 6198 1","1707110","09/06/2025","0.1267","Yes","CCF"
"9100 192 6198 1","1707110","09/07/2025","0.1267","Yes","CCF"
"9100 192 6198 1","1707110","09/08/2025","0.1267","Yes","CCF"
"9100 192 6198 1","1707110","09/09/2025","0.2000","No","CCF"
"9100 192 6198 1","1707110","09/10/2025","1.2800","No","CCF"
"9100 192 6198 1","1707110","09/11/2025","0.4700","Yes","CCF"
"9100 192 6198 1","1707110","09/12/2025","0.4700","Yes","CCF"
"9100 192 6198 1","1707110","09/13/2025","0.4700","Yes","CCF"
"9100 192 6198 1","1707110","09/14/2025","0.4700","Yes","CCF"
"9100 192 6198 1","1707110","09/15/2025","0.5000","No","CCF"
"9100 192 6198 1","1707110","09/16/2025","0.4267","Yes","CCF"
"9100 192 6198 1","1707110","09/17/2025","0.4267","Yes","CCF"
"9100 192 6198 1","1707110","09/18/2025","0.4267","Yes","CCF"
"9100 192 6198 1","1707110","09/19/2025","0.3600","No","CCF"
"9100 192 6198 1","1707110","09/20/2025","0.4100","Yes","CCF"
"9100 192 6198 1","1707110","09/21/2025","0.4100","Yes","CCF"
"9100 192 6198 1","1707110","09/22/2025","0.3400","Yes","CCF"
"9100 192 6198 1","1707110","09/23/2025","0.3400","Yes","CCF"
"9100 192 6198 1","1707110","09/24/2025","0.3800","No","CCF"
"9100 192 6198 1","1707110","09/25/2025","0.6000","No","CCF"
"9100 192 6198 1","1707110","09/26/2025","0.5300","Yes","CCF"
"9100 192 6198 1","1707110","09/27/2025","0.5300","Yes","CCF"
"9100 192 6198 1","1707110","09/28/2025","0.4400","No","CCF"
"9100 192 6198 1","1707110","09/29/2025","0.3200","No","CCF"
"9100 192 6198 1","1707110","09/30/2025","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","10/01/2025","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","10/02/2025","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","10/03/2025","0.3120","Yes","CCF"
